AssetName,FloorPlanGroupName,RecommendationDate,InputtedRent,ChangeReason,Comment,User,Timestamp,recc_rate,recc_rate_lower,recc_rate_upper
Cortland West Nashville,2x2,2024-11-17,"2,290",Soft/Low trends do not support rent recommendation,leased 90%,Melissa Jones,2024-11-18,2365.419189453125,2309.621337890625,2421.21728515625
Cortland Hilliard,1x1,2024-12-15,"1,276",Baseline Rent Accepted,leased 92.5%,Melissa Jones,2024-12-16,1245.920654296875,1216.2601318359375,1275.5811767578125
Cortland on Coyote Ridge,1x1,2024-12-15,"1,370",Other Action taken (see comment),Test +$5,Ruchi Naik,2024-12-16,1426.6560581752233,1393.7498081752233,1459.5624302455358
Cortland Delray Station,1x1,2024-12-16,"2,304",Baseline Rent Accepted,Inc $19 - only WF units avail,Shalina Daswani,2024-12-17,2304.256573016827,2248.073223407452,2360.439678485577
Cortland Scottsdale Mountain,2x2,2024-11-21,"1,696",Other Action taken (see comment),,Joshua Bivens,2024-11-22,1935.7996022294208,1894.8848073075458,1976.7143971512958
Cortland North Plano,3x2,2024-12-15,"2,504",Baseline Rent Accepted,Test -$10,Ruchi Naik,2024-12-16,2514.7710774739585,2454.0320638020835,2575.5103352864585
Cortland Las Casas,1x1,2025-01-13,"1,431",Other Action taken (see comment),push to RGR,Joshua Bivens,2025-01-14,1389.39794921875,1362.4755859375,1416.3204345703125
Cortland Las Casas,1x1,2025-01-13,"1,431",Other Action taken (see comment),push to RGR,Joshua Bivens,2025-01-14,1389.39794921875,1362.4755859375,1416.3204345703125
Cortland Belmar Phase II,1x1-C,2025-01-12,"1,722",Other Action taken (see comment),,Joshua Bivens,2025-01-13,1746.162792604361,1705.683056276236,1786.6424068621734
Cortland North Brookhaven,2x2,2024-11-11,"2,280",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-12,2118.3331220910904,2071.95546597961,2164.710835341866
Perimeter 5550,2x1,2024-11-12,"1,650",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-13,1561.8327229817708,1523.1201985677083,1600.5451253255208
Perimeter 5550,2x1,2024-11-12,"1,795",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-13,1561.8327229817708,1523.1201985677083,1600.5451253255208
Perimeter 5550,2x1,2024-11-12,"1,650",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-13,1561.8327229817708,1523.1201985677083,1600.5451253255208
Cortland Arlington,1x1,2024-12-02,"2,579",Baseline Rent Accepted,leased 78.5%,Melissa Jones,2024-12-03,2565.3503689236113,2505.3318142361113,2625.3686794704863
