AssetName,FloorPlanGroupName,RecommendationDate,InputtedRent,ChangeReason,Comment,User,Timestamp,recc_rate,recc_rate_lower,recc_rate_upper
Parkers Landing,3x2,2024-12-19,"2,884",Other Action taken (see comment),$1 Change for Web Feed,Corinne Smith,2024-12-20,2745.15478515625,2683.52587890625,2806.78369140625
Cortland Wren Northlake - Phase 1,3x2,2024-11-19,"2,280",Other Action taken (see comment),leased 92%,Melissa Jones,2024-11-20,2135.08251953125,2084.549112955729,2185.61572265625
Cortland Midtown East Phase 1 - Vue 64,1x1,2024-11-19,"1,375",Other Action taken (see comment),leased 85%,Melissa Jones,2024-11-20,1299.3859479143903,1269.6712262347028,1329.1006695940778
Cortland Phillips Creek Ranch Phase 1 - Stratus,1x1,2024-12-15,"1,477",Other Action taken (see comment),Test -$5,Ruchi Naik,2024-12-16,1362.106664370184,1330.764623354559,1393.448705385809
Cortland Hilliard,1x1,2024-12-02,"1,299",Other Action taken (see comment),leased 92.5%,Melissa Jones,2024-12-03,1342.018310546875,1309.955322265625,1374.081298828125
Cortland Gateway Park,3x2,2025-02-16,"2,542",Other Action taken (see comment),Held the course in rates,Joshua Bivens,2025-02-17,2541.624755859375,2480.15283203125,2603.096435546875
Cortland Scottsdale Mountain,2x2,2024-11-25,"1,696",Other Action taken (see comment),,Joshua Bivens,2024-11-26,1934.6158864091083,1893.7306325028583,1975.5011403153583
Cortland Wren Northlake - Phase 1,3x2,2024-11-11,"2,290",Strong/High trends do not support rent recommendation,leased 92%,Melissa Jones,2024-11-12,2135.08251953125,2084.549112955729,2185.61572265625
Cortland North Brookhaven,1x1,2024-12-04,"1,670",Baseline Rent Accepted,,Zack Knab,2024-12-05,1705.3475807425903,1666.3744349528833,1744.3208460856958
Cortland Lex,3x2,2024-12-19,"2,295",Strong/High trends do not support rent recommendation,,Zack Knab,2024-12-20,2215.036376953125,2164.9006729125977,2265.1721115112305
Jefferson Chase,1x1,2025-02-16,"1,167",Baseline Rent Accepted,"leased 96%, no rate change",Melissa Jones,2025-02-17,1138.9015299479167,1110.9081217447917,1166.8948160807292
Cortland Chisholm Trail,2x2,2024-12-09,"1,715",Other Action taken (see comment),Marketing price position,Jason Halpert,2024-12-10,1664.0558442615327,1625.8980073474702,1702.2138032459077
Cortland at the Hammocks - Phase 1,3x2,2024-12-15,"2,920",Baseline Rent Accepted,-$80 dec,Corinne Smith,2024-12-16,2865.02587890625,2795.407958984375,2934.6435546875
Cortland North Brookhaven,1x1,2024-11-11,"1,700",Baseline Rent Accepted,,Zack Knab,2024-11-12,1692.7346644450708,1654.0767054606958,1731.3926234294458
Cortland NoDa,1x1.5,2024-12-30,"1,900",Strong/High trends do not support rent recommendation,leased 100%,Melissa Jones,2024-12-31,1810.3577473958333,1769.3072102864583,1851.4084065755208
Cortland Onion Creek,1x1,2024-12-15,"1,326",Baseline Rent Accepted,,Jason Halpert,2024-12-16,1329.8648632319287,1300.1473339350537,1359.5825145991162
Cortland Sunbury,2x2,2024-12-29,"1,679",Baseline Rent Accepted,leased 95%,Melissa Jones,2024-12-30,1692.7047932942708,1651.5016682942708,1733.9077962239583
Cortland Falls River,3x2,2025-01-06,"1,930",Other Action taken (see comment),leased 98%,Melissa Jones,2025-01-07,1855.0732247488838,1811.5601632254463,1898.5861642020088
Mint Urban Infinity - Phase 2,1x1.5,2025-01-13,"1,113",Other Action taken (see comment),increase to RR,Joshua Bivens,2025-01-14,1059.8499755859375,1034.603759765625,1085.09619140625
Cortland Sunbury,2x2,2024-12-08,"1,625",Other Action taken (see comment),leased 94%,Melissa Jones,2024-12-09,1668.8700764973958,1628.2628987630208,1709.4772542317708
Avington Park at Fossil Creek,1x1,2024-12-11,"1,267",Other Action taken (see comment),Making $1 change to move from YS to RMP,Jason Halpert,2024-12-12,1230.9476023706898,1202.0359812769398,1259.8592234644398
Cortland Midtown Miami,1x1,2024-12-25,"2,948",Baseline Rent Accepted,$88 Inc (Upper) - 7 app T7 with high F60.,Corinne Smith,2024-12-26,2882.182752244016,2816.101697556516,2948.264051072141
Cortland at the Village - Phase 1,1x1,2024-12-08,"1,625",Strong/High trends do not support rent recommendation,,Zack Knab,2024-12-09,1519.8721923828125,1483.7191162109375,1556.0252685546875
Cortland Chandler Crossing,2x2,2024-11-21,"2,060",Strong/High trends do not support rent recommendation,,Joshua Bivens,2024-11-22,2086.407207782452,2037.529522235577,2135.284934410682
Huntington Glen,1x1,2024-12-11,"1,319",Other Action taken (see comment),Making $1 change to move from YS to RMP,Jason Halpert,2024-12-12,1315.5702046239098,1286.8742817723473,1344.2661274754723
Cortland Duluth - Phase 1C,1x1,2024-11-11,"1,450",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-12,1338.4425617374786,1309.4415851749786,1367.4435382999786
Cortland Duluth - Phase 1C,1x1,2024-11-11,"1,450",Strong/High trends do not support rent recommendation,,Zack Knab,2024-11-12,1338.4425617374786,1309.4415851749786,1367.4435382999786
