AssetName,FloorPlanGroupName,RecommendationDate,InputtedRent,ChangeReason,Comment,User,Timestamp,recc_rate,recc_rate_lower,recc_rate_upper
Cortland Jubilee Park,2x2,2024-06-30,"2,043",Baseline Rent Accepted,,Kaitlin Dierks,2024-07-01,2049.193505859375,2004.166162109375,2094.220849609375
Cortland Duluth - Phase 1C,1x1,2024-06-30,"1,425",Other Action taken (see comment),Balancing the two phases,Zack Knab,2024-07-01,1356.2951007999786,1326.8478351749786,1385.7423664249786
Sunbury Ridge,2x1.5,2024-08-09,"1,527",Baseline Rent Accepted,F90 93%,Melissa Jones,2024-08-10,1563.9319835844494,1527.318824404762,1600.5452648344494
Cortland Walnut Hill,2x2,2024-07-31,"2,241",Baseline Rent Accepted,,Ruchi Naik,2024-08-01,2201.2097605579306,2153.6582676149765,2248.761278836232
Cortland Midtown East Phase 1 - Vue 64,3x3,2024-08-05,"2,525",Strong/High trends do not support rent recommendation,F90 100%,Melissa Jones,2024-08-06,2433.2158203125,2373.58544921875,2492.84619140625
Cortland at the Hill,2x2,2024-07-24,"2,390",Baseline Rent Accepted,,Zack Knab,2024-07-25,2432.3370346257716,2373.2354721257716,2491.4385971257716
The Palmer at Las Colinas,1x1,2024-08-14,"1,521",Other Action taken (see comment),hi pending count do not want to drop rate further when we have been leasing at thsis price point,Ruchi Naik,2024-08-15,1471.5110034608003,1437.6355151795503,1505.3864917420503
Cortland Research Park,2x2,2024-10-21,"1,401",Baseline Rent Accepted,leased 89%,Melissa Jones,2024-10-22,1411.4894883897568,1377.6103379991318,1445.3687608506943
Cortland University City,3x2,2024-07-19,"1,657",Baseline Rent Accepted,F90 78%,Melissa Jones,2024-07-20,1618.1433648003472,1578.8390435112847,1657.4475640190972
Cortland Powell,2x2,2024-07-28,"1,824",Baseline Rent Accepted,F90 97%,Melissa Jones,2024-07-29,1704.4389776932567,1668.2872173108553,1740.5907406455592
Cortland Uptown Buckhead,1x1,2024-08-01,"1,410",Other Action taken (see comment),In correct direction,Zack Knab,2024-08-02,1450.8946869948816,1416.5460541823816,1485.2433198073816
Cortland Cotswold,1x1,2024-08-12,"1,311",Baseline Rent Accepted,F90 93%,Melissa Jones,2024-08-13,1313.9046282087054,1287.5035051618304,1340.305873325893
